"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"184",184,"SEA",2022-10-16,37,"Sun",6,6,NA,"ARI","W 19-9",23,37,62.2,171,0,6,51,1,61.9
"185",185,"PHI",2022-10-16,38,"Sun",6,6,NA,"DAL","W 26-17",18,38,47.4,181,1,0,0,3,37.3
"186",186,"KAN",2022-10-16,40,"Sun",6,6,NA,"BUF","L 20-24",27,40,67.5,318,3,1,11,0,116.5
"187",187,"DEN",2022-10-17,57,"Mon",6,6,"@","LAC","L 16-19 (OT)",37,57,64.9,224,0,2,14,1,65.2
"188",188,"LAC",2022-10-17,28,"Mon",6,6,NA,"DEN","W 19-16 (OT)",15,28,53.6,160,1,4,28,0,82.4
"189",189,"NOR",2022-10-20,29,"Thu",7,7,"@","ARI","L 34-42",20,29,69,189,1,2,15,0,98.2
"190",190,"ARI",2022-10-20,49,"Thu",7,7,NA,"NOR","W 42-34",32,49,65.3,409,4,0,0,3,93
"191",191,"NYJ",2022-10-23,46,"Sun",7,7,"@","DEN","W 16-9",24,46,52.2,219,0,1,6,1,56.3
"192",192,"SFO",2022-10-23,36,"Sun",7,7,NA,"KAN","L 23-44",25,36,69.4,417,3,1,6,1,124.4
"193",193,"PIT",2022-10-23,35,"Sun",7,7,"@","MIA","L 10-16",21,35,60,261,1,0,0,0,92.7
"194",194,"CLE",2022-10-23,16,"Sun",7,7,"@","BAL","L 20-23",9,16,56.3,94,0,3,26,0,73.4
"195",195,"IND",2022-10-23,20,"Sun",7,7,"@","TEN","L 10-19",13,20,65,116,0,2,16,0,80.4
"196",196,"SEA",2022-10-23,51,"Sun",7,7,"@","LAC","W 37-23",33,51,64.7,276,2,3,17,1,83.5
"197",197,"TEN",2022-10-23,44,"Sun",6,7,NA,"IND","W 19-10",33,44,75,227,1,3,16,2,74.7
"198",198,"LVR",2022-10-23,41,"Sun",6,7,NA,"HOU","W 38-20",28,41,68.3,296,2,1,6,1,95.2
"199",199,"DET",2022-10-23,25,"Sun",6,7,"@","DAL","L 6-24",19,25,76,191,1,2,16,0,110.6
"200",200,"GNB",2022-10-23,33,"Sun",7,7,"@","WAS","L 21-23",20,33,60.6,198,2,1,3,1,85.2
"201",201,"CIN",2022-10-23,13,"Sun",7,7,NA,"ATL","W 35-17",8,13,61.5,107,1,3,17,0,113.3
"202",202,"GNB",2022-10-23,33,"Sun",7,7,"@","WAS","L 21-23",20,33,60.6,198,2,1,3,1,85.2
"203",203,"ATL",2022-10-23,42,"Sun",7,7,"@","CIN","L 17-35",34,42,81,459,3,3,22,0,136
"204",204,"SEA",2022-10-23,51,"Sun",7,7,"@","LAC","W 37-23",33,51,64.7,276,2,3,17,1,83.5
"205",205,"BAL",2022-10-23,27,"Sun",7,7,NA,"CLE","W 23-20",22,27,81.5,223,0,5,35,0,101.1
"206",206,"LVR",2022-10-23,41,"Sun",6,7,NA,"HOU","W 38-20",28,41,68.3,296,2,1,6,1,95.2
"207",207,"LAC",2022-10-23,27,"Sun",7,7,NA,"SEA","L 23-37",20,27,74.1,191,2,2,19,1,102.5
"208",208,"PIT",2022-10-23,35,"Sun",7,7,"@","MIA","L 10-16",21,35,60,261,1,0,0,0,92.7
"209",209,"NYJ",2022-10-23,46,"Sun",7,7,"@","DEN","W 16-9",24,46,52.2,219,0,1,6,1,56.3
"210",210,"IND",2022-10-23,20,"Sun",7,7,"@","TEN","L 10-19",13,20,65,116,0,2,16,0,80.4
"211",211,"NYG",2022-10-23,44,"Sun",7,7,"@","JAX","W 23-17",22,44,50,310,0,0,0,0,73.1
"212",212,"WAS",2022-10-23,35,"Sun",7,7,NA,"GNB","W 23-21",23,35,65.7,194,2,0,0,0,99
"213",213,"JAX",2022-10-23,30,"Sun",7,7,NA,"NYG","L 17-23",19,30,63.3,200,1,1,2,0,93.7
"214",214,"KAN",2022-10-23,46,"Sun",7,7,"@","SFO","W 44-23",29,46,63,343,2,5,26,2,82.1
"215",215,"NWE",2022-10-24,21,"Mon",7,7,NA,"CHI","L 14-33",13,21,61.9,147,1,4,32,1,78.9
"216",216,"CHI",2022-10-24,28,"Mon",7,7,"@","NWE","W 33-14",17,28,60.7,190,1,1,8,3,53.3
"217",217,"TAM",2022-10-27,38,"Thu",8,8,NA,"BAL","L 22-27",27,38,71.1,222,2,3,16,0,103.2
"218",218,"BAL",2022-10-27,44,"Thu",8,8,"@","TAM","W 27-22",26,44,59.1,305,1,3,20,0,87.8
"219",219,"MIA",2022-10-30,37,"Sun",8,8,"@","DET","W 31-27",27,37,73,311,1,1,10,0,106.9
"220",220,"TEN",2022-10-30,30,"Sun",7,8,"@","HOU","W 17-10",17,30,56.7,118,1,3,34,1,62.9
"221",221,"DAL",2022-10-30,24,"Sun",8,8,NA,"CHI","W 49-29",18,24,75,131,2,4,25,0,115.1
"222",222,"ARI",2022-10-30,36,"Sun",8,8,"@","MIN","L 26-34",24,36,66.7,208,2,3,24,0,100.2
"223",223,"SFO",2022-10-30,33,"Sun",8,8,"@","LAR","W 31-14",22,33,66.7,167,1,2,20,0,88.8
"224",224,"HOU",2022-10-30,10,"Sun",7,8,NA,"TEN","L 10-17",6,10,60,40,0,3,15,1,29.2
"225",225,"CAR",2022-10-30,28,"Sun",8,8,"@","ATL","L 34-37 (OT)",20,28,71.4,239,3,2,14,2,103.1
"226",226,"DEN",2022-10-30,31,"Sun",8,8,"@","JAX","W 21-17",18,31,58.1,114,1,2,19,2,49.7
"227",227,"DET",2022-10-30,36,"Sun",7,8,NA,"MIA","L 27-31",29,36,80.6,369,3,2,13,0,137.2
"228",228,"LAR",2022-10-30,26,"Sun",7,8,NA,"SFO","L 14-31",22,26,84.6,257,3,3,12,0,146.3
"229",229,"BUF",2022-10-30,30,"Sun",7,8,NA,"GNB","W 27-17",19,30,63.3,190,2,2,13,1,89.6
"230",230,"GNB",2022-10-30,25,"Sun",8,8,"@","BUF","L 17-27",13,25,52,216,2,2,2,2,74.7
"231",231,"ATL",2022-10-30,36,"Sun",8,8,NA,"CAR","W 37-34 (OT)",19,36,52.8,309,1,1,8,1,79.5
"232",232,"SEA",2022-10-30,31,"Sun",8,8,NA,"NYG","W 27-13",17,31,54.8,147,0,5,29,0,67.5
"233",233,"MIN",2022-10-30,44,"Sun",7,8,NA,"ARI","W 34-26",31,44,70.5,297,3,4,29,2,92.7
"234",234,"NOR",2022-10-30,39,"Sun",8,8,NA,"LVR","W 24-0",23,39,59,145,0,4,28,1,56
"235",235,"LVR",2022-10-30,31,"Sun",7,8,"@","NOR","L 0-24",23,31,74.2,231,2,0,0,0,116.5
"236",236,"NWE",2022-10-30,41,"Sun",8,8,"@","NYJ","W 22-17",20,41,48.8,336,2,2,19,3,62.7
"237",237,"PIT",2022-10-30,30,"Sun",8,8,"@","PHI","L 13-35",20,30,66.7,290,4,3,18,0,137.5
"238",238,"PHI",2022-10-30,40,"Sun",7,8,NA,"PIT","W 35-13",27,40,67.5,158,1,6,38,1,72.7
"239",239,"NYJ",2022-10-30,35,"Sun",8,8,NA,"NWE","L 17-22",24,35,68.6,161,1,6,33,1,76
"240",240,"CHI",2022-10-30,27,"Sun",8,8,"@","DAL","L 29-49",21,27,77.8,242,2,1,8,1,113.3
"241",241,"IND",2022-10-30,31,"Sun",8,8,NA,"WAS","L 16-17",23,31,74.2,266,1,2,13,1,97
"242",242,"NYG",2022-10-30,34,"Sun",8,8,"@","SEA","L 13-27",23,34,67.6,190,2,3,22,0,101.3
"243",243,"WAS",2022-10-30,23,"Sun",8,8,"@","IND","W 17-16",17,23,73.9,189,0,2,12,0,97.9
"244",244,"JAX",2022-10-30,30,"Sun",8,8,NA,"DEN","L 17-21",18,30,60,230,1,3,22,1,81.3
"245",245,"CLE",2022-10-31,35,"Mon",8,8,NA,"CIN","W 32-13",25,35,71.4,193,2,5,39,1,91.7
"246",246,"CIN",2022-10-31,23,"Mon",8,8,"@","CLE","L 13-32",17,23,73.9,268,1,2,10,1,108.6
"247",247,"HOU",2022-11-03,27,"Thu",8,9,NA,"PHI","L 17-29",21,27,77.8,217,2,4,26,0,124.8
"248",248,"PHI",2022-11-03,22,"Thu",8,9,"@","HOU","W 29-17",13,22,59.1,135,2,3,19,2,69.3
"249",249,"MIA",2022-11-06,28,"Sun",9,9,"@","CHI","W 35-32",17,28,60.7,116,3,2,7,0,105.7
"250",250,"TEN",2022-11-06,68,"Sun",8,9,"@","KAN","L 17-20 (OT)",43,68,63.2,422,1,4,24,1,79.4
"251",251,"ARI",2022-11-06,34,"Sun",9,9,NA,"SEA","L 21-31",26,34,76.5,263,2,2,12,1,105.4
"252",252,"CAR",2022-11-06,31,"Sun",9,9,"@","CIN","L 21-42",25,31,80.6,223,1,2,5,0,107.4
"253",253,"TAM",2022-11-06,27,"Sun",9,9,NA,"LAR","W 16-13",13,27,48.1,138,1,4,27,0,75.8
"254",254,"DET",2022-11-06,43,"Sun",8,9,NA,"GNB","W 15-9",23,43,53.5,283,1,1,8,3,52.8
"255",255,"LAR",2022-11-06,58,"Sun",8,9,"@","TAM","L 13-16",36,58,62.1,272,1,1,8,0,79.1
"256",256,"BUF",2022-11-06,25,"Sun",8,9,"@","NYJ","L 17-20",18,25,72,136,1,2,18,0,98.1
"257",257,"CIN",2022-11-06,30,"Sun",9,9,NA,"CAR","W 42-21",17,30,56.7,164,2,0,0,2,66.5
"258",258,"GNB",2022-11-06,26,"Sun",9,9,"@","DET","L 9-15",14,26,53.8,137,2,0,0,1,78.5
"259",259,"ATL",2022-11-06,43,"Sun",9,9,NA,"LAC","L 17-20",30,43,69.8,245,1,0,0,1,82
"260",260,"SEA",2022-11-06,35,"Sun",9,9,"@","ARI","W 31-21",25,35,71.4,140,2,5,35,0,97.3
"261",261,"MIN",2022-11-06,28,"Sun",8,9,"@","WAS","W 20-17",15,28,53.6,126,2,3,23,1,74.4
"262",262,"LVR",2022-11-06,31,"Sun",8,9,"@","JAX","L 20-27",25,31,80.6,235,1,0,0,0,109
"263",263,"LAC",2022-11-06,23,"Sun",8,9,"@","ATL","W 20-17",12,23,52.2,114,0,2,15,0,66.2
"264",264,"NWE",2022-11-06,29,"Sun",9,9,NA,"IND","W 26-3",15,29,51.7,43,0,9,60,1,43.3
"265",265,"NYJ",2022-11-06,34,"Sun",9,9,NA,"BUF","W 20-17",18,34,52.9,183,0,5,22,2,44.1
"266",266,"CHI",2022-11-06,30,"Sun",9,9,NA,"MIA","L 32-35",21,30,70,302,3,0,0,0,135.7
"267",267,"IND",2022-11-06,30,"Sun",9,9,"@","NWE","L 3-26",20,30,66.7,133,1,4,14,0,87.2
"268",268,"WAS",2022-11-06,41,"Sun",9,9,NA,"MIN","L 17-20",23,41,56.1,245,2,2,17,1,79.8
"269",269,"JAX",2022-11-06,36,"Sun",9,9,NA,"LVR","W 27-20",21,36,58.3,248,2,2,11,0,97.9
"270",270,"KAN",2022-11-06,16,"Sun",8,9,NA,"TEN","W 20-17 (OT)",5,16,31.3,57,0,3,23,0,43
"271",271,"BAL",2022-11-07,30,"Mon",9,9,"@","NOR","W 27-13",20,30,66.7,195,1,4,28,1,81.9
"272",272,"NOR",2022-11-07,22,"Mon",9,9,NA,"BAL","L 13-27",12,22,54.5,131,1,3,2,0,87.5
"273",273,"CAR",2022-11-10,30,"Thu",10,10,NA,"ATL","W 25-15",19,30,63.3,153,2,5,33,1,84.4
"274",274,"ATL",2022-11-10,16,"Thu",10,10,"@","CAR","L 15-25",10,16,62.5,101,0,1,7,0,80.5
"275",275,"MIA",2022-11-13,35,"Sun",10,10,NA,"CLE","W 39-17",22,35,62.9,185,1,3,27,0,86
"276",276,"TEN",2022-11-13,42,"Sun",9,10,NA,"DEN","W 17-10",21,42,50,248,1,6,38,1,66.4
"277",277,"DAL",2022-11-13,20,"Sun",9,10,"@","GNB","L 28-31 (OT)",14,20,70,208,3,2,16,0,143.3
"278",278,"ARI",2022-11-13,37,"Sun",10,10,"@","LAR","W 27-17",25,37,67.6,190,1,3,19,1,77.5
"279",279,"SFO",2022-11-13,37,"Sun",9,10,NA,"LAC","W 22-16",21,37,56.8,187,1,3,9,1,68.2
"280",280,"HOU",2022-11-13,17,"Sun",9,10,"@","NYG","L 16-24",13,17,76.5,176,2,3,21,0,148.2
"281",281,"DEN",2022-11-13,36,"Sun",9,10,"@","TEN","L 10-17",19,36,52.8,244,2,1,11,0,92.8
"282",282,"CLE",2022-11-13,33,"Sun",9,10,"@","MIA","L 17-39",26,33,78.8,296,3,1,6,0,134.3
"283",283,"TAM",2022-11-13,33,"Sun",10,10,NA,"SEA","W 21-16",23,33,69.7,244,2,3,31,0,111.2
"284",284,"DET",2022-11-13,20,"Sun",9,10,"@","CHI","W 31-30",12,20,60,150,2,3,17,1,95.8
"285",285,"LAR",2022-11-13,37,"Sun",9,10,NA,"ARI","L 17-27",26,37,70.3,220,1,2,18,0,94.4
"286",286,"BUF",2022-11-13,50,"Sun",9,10,NA,"MIN","L 30-33 (OT)",30,50,60,334,1,4,23,2,69.9
"287",287,"GNB",2022-11-13,46,"Sun",10,10,NA,"DAL","W 31-28 (OT)",27,46,58.7,262,3,2,3,2,78.4
"288",288,"SEA",2022-11-13,30,"Sun",10,10,"@","TAM","L 16-21",22,30,73.3,258,2,0,0,2,93.5
"289",289,"MIN",2022-11-13,43,"Sun",9,10,"@","BUF","W 33-30 (OT)",29,43,67.4,311,1,2,19,2,76.8
"290",290,"NOR",2022-11-13,30,"Sun",10,10,"@","PIT","L 10-20",18,30,60,162,0,6,37,0,74.6
"291",291,"LVR",2022-11-13,28,"Sun",9,10,NA,"IND","L 20-25",21,28,75,208,1,1,14,0,107.4
"292",292,"LAC",2022-11-13,28,"Sun",9,10,"@","SFO","L 16-22",19,28,67.9,230,0,1,10,0,92.9
"293",293,"PIT",2022-11-13,28,"Sun",9,10,NA,"NOR","W 20-10",17,28,60.7,157,1,2,17,2,58.2
"294",294,"CHI",2022-11-13,26,"Sun",10,10,NA,"DET","L 30-31",19,26,73.1,228,1,2,8,0,112.3
"295",295,"IND",2022-11-13,38,"Sun",10,10,"@","LVR","W 25-20",24,38,63.2,232,2,2,16,0,97.7
"296",296,"NYG",2022-11-13,37,"Sun",9,10,NA,"HOU","W 24-16",22,37,59.5,286,1,4,33,1,81.6
"297",297,"JAX",2022-11-13,35,"Sun",10,10,"@","KAN","L 17-27",26,35,74.3,331,4,0,0,1,129.6
"298",298,"KAN",2022-11-13,40,"Sun",9,10,NA,"JAX","W 27-17",29,40,72.5,240,2,5,19,0,104.2
"299",299,"PHI",2022-11-14,29,"Mon",9,10,NA,"WAS","L 21-32",17,29,58.6,178,0,3,33,1,62.1
"300",300,"WAS",2022-11-14,26,"Mon",10,10,"@","PHI","W 32-21",17,26,65.4,170,2,1,5,1,93.4
"301",301,"TEN",2022-11-17,39,"Thu",10,11,"@","GNB","W 27-17",24,39,61.5,215,2,1,12,0,93.4
"302",302,"GNB",2022-11-17,29,"Thu",11,11,NA,"TEN","L 17-27",24,29,82.8,320,3,3,17,1,132.8
"303",303,"DAL",2022-11-20,30,"Sun",10,11,"@","MIN","W 40-3",17,30,56.7,110,0,7,49,0,64.6
"304",304,"HOU",2022-11-20,27,"Sun",10,11,NA,"WAS","L 10-23",15,27,55.6,191,0,0,0,0,77.9
"305",305,"CAR",2022-11-20,33,"Sun",11,11,"@","BAL","L 3-13",24,33,72.7,193,0,3,16,1,74.4
"306",306,"DEN",2022-11-20,37,"Sun",10,11,NA,"LVR","L 16-22 (OT)",23,37,62.2,298,2,1,9,0,105.5
"307",307,"CLE",2022-11-20,27,"Sun",10,11,"@","BUF","L 23-31",18,27,66.7,186,1,2,11,0,98.7
"308",308,"DET",2022-11-20,44,"Sun",10,11,"@","NYG","W 31-18",27,44,61.4,324,1,2,17,2,72.5
"309",309,"LAR",2022-11-20,28,"Sun",10,11,"@","NOR","L 20-27",22,28,78.6,235,3,4,39,0,137.4
"310",310,"BUF",2022-11-20,41,"Sun",10,11,NA,"CLE","W 31-23",28,41,68.3,316,3,1,8,0,115.5
"311",311,"CIN",2022-11-20,42,"Sun",10,11,"@","PIT","W 37-30",25,42,59.5,249,1,2,16,0,84.3
"312",312,"ATL",2022-11-20,21,"Sun",11,11,NA,"CHI","W 27-24",14,21,66.7,128,1,4,25,1,79.1
"313",313,"BAL",2022-11-20,33,"Sun",10,11,NA,"CAR","W 13-3",21,33,63.6,169,0,4,27,2,51.2
"314",314,"MIN",2022-11-20,30,"Sun",10,11,NA,"DAL","L 3-40",26,30,86.7,307,2,0,0,0,131.5
"315",315,"NOR",2022-11-20,28,"Sun",11,11,NA,"LAR","W 27-20",16,28,57.1,188,2,4,35,0,101.5
"316",316,"LVR",2022-11-20,31,"Sun",10,11,"@","DEN","W 22-16 (OT)",24,31,77.4,226,0,3,21,0,97
"317",317,"LAC",2022-11-20,34,"Sun",10,11,NA,"KAN","L 27-30",20,34,58.8,322,3,1,7,0,120
"318",318,"NWE",2022-11-20,22,"Sun",10,11,NA,"NYJ","W 10-3",9,22,40.9,44,0,4,33,0,48.7
"319",319,"PIT",2022-11-20,39,"Sun",10,11,NA,"CIN","L 30-37",24,39,61.5,346,4,2,9,2,103.2
"320",320,"PHI",2022-11-20,32,"Sun",10,11,"@","IND","W 17-16",23,32,71.9,185,0,4,28,0,86.1
"321",321,"NYJ",2022-11-20,27,"Sun",10,11,"@","NWE","L 3-10",23,27,85.2,198,0,6,48,0,97.2
"322",322,"CHI",2022-11-20,20,"Sun",11,11,"@","ATL","L 24-27",13,20,65,131,1,0,0,0,100.2
"323",323,"IND",2022-11-20,25,"Sun",11,11,NA,"PHI","L 16-17",18,25,72,173,1,3,17,0,104.2
"324",324,"NYG",2022-11-20,26,"Sun",10,11,NA,"DET","L 18-31",17,26,65.4,165,0,0,0,0,83
"325",325,"WAS",2022-11-20,33,"Sun",11,11,"@","HOU","W 23-10",19,33,57.6,127,0,5,42,2,40.8
"326",326,"KAN",2022-11-20,30,"Sun",10,11,"@","LAC","W 30-27",23,30,76.7,250,2,5,30,1,109
"327",327,"ARI",2022-11-21,29,"Mon",11,11,NA,"SFO","L 10-38",20,29,69,228,4,0,0,0,131.9
"328",328,"SFO",2022-11-21,44,"Mon",10,11,"@","ARI","W 38-10",30,44,68.2,247,0,3,30,2,63.4
"329",329,"DAL",2022-11-24,35,"Thu",11,12,NA,"NYG","W 28-20",21,35,60,210,1,3,18,0,86.6
"330",330,"DET",2022-11-24,42,"Thu",11,12,NA,"BUF","L 25-28",24,42,57.1,237,2,3,16,1,79.2
"331",331,"BUF",2022-11-24,37,"Thu",11,12,"@","DET","W 28-25",23,37,62.2,230,2,2,10,0,97.8
"332",332,"MIN",2022-11-24,39,"Thu",11,12,NA,"NWE","W 33-26",28,39,71.8,364,2,3,18,0,117.9
"333",333,"NWE",2022-11-24,38,"Thu",11,12,"@","MIN","L 26-33",31,38,81.6,301,3,1,9,1,115
"334",334,"NYG",2022-11-24,30,"Thu",11,12,"@","DAL","L 20-28",21,30,70,261,2,0,0,2,91.1
"335",335,"MIA",2022-11-27,39,"Sun",11,12,NA,"HOU","W 30-15",26,39,66.7,174,1,5,41,2,63.4
"336",336,"TEN",2022-11-27,37,"Sun",11,12,NA,"CIN","L 16-20",22,37,59.5,266,1,1,4,0,90.6
"337",337,"ARI",2022-11-27,47,"Sun",12,12,NA,"LAC","L 24-25",35,47,74.5,246,3,4,28,0,107.2
"338",338,"SFO",2022-11-27,30,"Sun",11,12,NA,"NOR","W 13-0",18,30,60,197,0,1,7,0,79.4
"339",339,"HOU",2022-11-27,41,"Sun",11,12,"@","MIA","L 15-30",23,41,56.1,273,1,5,32,0,84.7
"340",340,"CAR",2022-11-27,35,"Sun",12,12,NA,"DEN","W 23-10",19,35,54.3,125,1,3,17,0,71.7
"341",341,"DEN",2022-11-27,19,"Sun",11,12,"@","CAR","L 10-23",11,19,57.9,164,1,0,0,0,103.8
"342",342,"CLE",2022-11-27,43,"Sun",11,12,NA,"TAM","W 23-17 (OT)",29,43,67.4,229,2,3,17,0,96
"343",343,"TAM",2022-11-27,37,"Sun",11,12,"@","CLE","L 17-23 (OT)",23,37,62.2,178,1,4,32,1,71.7
"344",344,"LAR",2022-11-27,42,"Sun",11,12,"@","KAN","L 10-26",27,42,64.3,320,1,0,0,1,85.4
"345",345,"CIN",2022-11-27,34,"Sun",11,12,"@","TEN","W 20-16",22,34,64.7,281,0,1,10,0,90.4
"346",346,"GNB",2022-11-27,28,"Sun",12,12,"@","PHI","L 33-40",16,28,57.1,137,2,2,16,0,93.9
"347",347,"ATL",2022-11-27,23,"Sun",12,12,"@","WAS","L 13-19",14,23,60.9,138,2,0,0,1,88.7
"348",348,"SEA",2022-11-27,36,"Sun",11,12,NA,"LVR","L 34-40 (OT)",25,36,69.4,293,3,1,2,2,98.5
"349",349,"BAL",2022-11-27,37,"Sun",11,12,"@","JAX","L 27-28",29,37,78.4,294,3,4,27,0,126.8
"350",350,"NOR",2022-11-27,37,"Sun",12,12,"@","SFO","L 0-13",26,37,70.3,221,1,1,1,0,94.5
"351",351,"LVR",2022-11-27,37,"Sun",11,12,"@","SEA","W 40-34 (OT)",27,37,73,307,2,3,21,1,104.2
"352",352,"LAC",2022-11-27,29,"Sun",11,12,"@","ARI","W 25-24",18,29,62.1,185,2,1,6,1,89
"353",353,"PHI",2022-11-27,25,"Sun",11,12,NA,"GNB","W 40-33",17,25,68,236,3,3,17,2,104.3
"354",354,"NYJ",2022-11-27,25,"Sun",11,12,NA,"CHI","W 31-10",14,25,56,165,1,2,14,1,72.9
"355",355,"CHI",2022-11-27,29,"Sun",12,12,"@","NYJ","L 10-31",22,29,75.9,308,3,1,7,0,144
"356",356,"WAS",2022-11-27,25,"Sun",12,12,NA,"ATL","W 19-13",15,25,60,165,1,1,9,1,76.2
"357",357,"JAX",2022-11-27,32,"Sun",11,12,NA,"BAL","W 28-27",16,32,50,253,1,1,1,0,87.1
"358",358,"KAN",2022-11-27,24,"Sun",11,12,NA,"LAR","W 26-10",14,24,58.3,82,1,3,24,2,44.1
"359",359,"PIT",2022-11-28,34,"Mon",11,12,"@","IND","W 24-17",22,34,64.7,180,1,3,19,1,75.6
"360",360,"IND",2022-11-28,28,"Mon",12,12,NA,"PIT","L 17-24",20,28,71.4,151,0,3,23,0,84.1
"361",361,"BUF",2022-12-01,36,"Thu",12,13,"@","NWE","W 24-10",22,36,61.1,182,1,1,13,0,83.3
"362",362,"NWE",2022-12-01,33,"Thu",12,13,NA,"BUF","L 10-24",22,33,66.7,223,2,2,0,0,106
"363",363,"MIA",2022-12-04,41,"Sun",12,13,"@","SFO","L 17-33",27,41,65.9,230,2,4,36,1,86.4
