"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Inc","Cmp%","Yds...15","TD","Int","TD%","Int%","Rate","Sk","Yds...22","Sk%","Y/A","NY/A","AY/A","ANY/A","Y/C"
"408",408,"LAC",2022-12-11,51,"Sun",13,14,NA,"MIA","W 23-17",39,51,12,76.5,350,1,0,2,0,102.3,4,17,7.27,6.9,6.36,7.25,6.73,9
"409",409,"PIT",2022-12-11,31,"Sun",13,14,NA,"BAL","L 14-16",22,31,9,71,264,1,3,3.2,9.7,69.5,2,12,6.06,8.5,8,4.81,4.52,12
"410",410,"PHI",2022-12-11,31,"Sun",13,14,"@","NYG","W 48-22",21,31,10,67.7,184,2,0,6.5,0,109.2,4,33,11.43,5.9,5.26,7.23,6.4,8.8
"411",411,"NYJ",2022-12-11,47,"Sun",13,14,"@","BUF","L 12-20",28,47,19,59.6,233,0,0,0,0,75.6,4,36,7.84,5,4.57,4.96,4.57,8.3
"412",412,"NYG",2022-12-11,32,"Sun",13,14,NA,"PHI","L 22-48",23,32,9,71.9,181,2,0,6.3,0,110.9,7,35,17.95,5.7,4.64,6.91,5.67,7.9
"413",413,"KAN",2022-12-11,42,"Sun",13,14,"@","DEN","W 34-28",28,42,14,66.7,342,3,3,7.1,7.1,86.6,2,10,4.55,8.1,7.77,6.36,6.07,12.2
"414",414,"JAX",2022-12-11,42,"Sun",13,14,"@","TEN","W 36-22",30,42,12,71.4,368,3,0,7.1,0,121.9,0,0,0,8.8,8.76,10.19,10.19,12.3
"415",415,"ARI",2022-12-12,41,"Mon",13,14,NA,"NWE","L 13-27",28,41,13,68.3,210,0,1,0,2.4,74.7,6,45,12.77,5.1,4.47,4.02,3.51,7.5
"416",416,"NWE",2022-12-12,35,"Mon",13,14,"@","ARI","W 27-13",24,35,11,68.6,225,0,1,0,2.9,75.3,1,10,2.78,6.4,6.25,5.14,5,9.4
"417",417,"SFO",2022-12-15,26,"Thu",14,15,"@","SEA","W 21-13",17,26,9,65.4,211,2,0,7.7,0,117,1,6,3.7,8.1,7.81,9.65,9.3,12.4
"418",418,"SEA",2022-12-15,44,"Thu",14,15,NA,"SFO","L 13-21",31,44,13,70.5,207,1,0,2.3,0,90.9,3,31,6.38,4.7,4.4,5.16,4.83,6.7
"419",419,"MIA",2022-12-17,30,"Sat",14,15,"@","BUF","L 29-32",17,30,13,56.7,217,2,0,6.7,0,104,2,17,6.25,7.2,6.78,8.57,8.03,12.8
"420",420,"CLE",2022-12-17,28,"Sat",14,15,NA,"BAL","W 13-3",18,28,10,64.3,140,1,0,3.6,0,91.5,3,21,9.68,5,4.52,5.71,5.16,7.8
"421",421,"BUF",2022-12-17,40,"Sat",14,15,NA,"MIA","W 32-29",25,40,15,62.5,296,4,0,10,0,119.2,2,8,4.76,7.4,7.05,9.4,8.95,11.8
"422",422,"BAL",2022-12-17,30,"Sat",14,15,"@","CLE","L 3-13",17,30,13,56.7,126,0,1,0,3.3,54.6,3,12,9.09,4.2,3.82,2.7,2.45,7.4
"423",423,"MIN",2022-12-17,55,"Sat",14,15,NA,"IND","W 39-36 (OT)",34,55,21,61.8,426,4,2,7.3,3.6,97.5,7,34,11.29,7.7,6.87,7.56,6.71,12.5
"424",424,"IND",2022-12-17,33,"Sat",14,15,"@","MIN","L 36-39 (OT)",19,33,14,57.6,170,1,0,3,0,83.1,3,12,8.33,5.2,4.72,5.76,5.28,8.9
"425",425,"DAL",2022-12-18,30,"Sun",14,15,"@","JAX","L 34-40 (OT)",23,30,7,76.7,243,3,2,10,6.7,107.1,3,13,9.09,8.1,7.36,7.1,6.45,10.6
"426",426,"TEN",2022-12-18,26,"Sun",14,15,"@","LAC","L 14-17",18,26,8,69.2,157,0,1,0,3.8,73.4,4,28,13.33,6,5.23,4.31,3.73,8.7
"427",427,"ARI",2022-12-18,36,"Sun",14,15,"@","DEN","L 15-24",20,36,16,55.6,167,0,3,0,8.3,33.7,3,6,7.69,4.6,4.28,0.89,0.82,8.4
"428",428,"HOU",2022-12-18,29,"Sun",14,15,NA,"KAN","L 24-30 (OT)",14,29,15,48.3,125,2,0,6.9,0,83.8,1,4,3.33,4.3,4.17,5.69,5.5,8.9
"429",429,"DEN",2022-12-18,26,"Sun",14,15,NA,"ARI","W 24-15",21,26,5,80.8,156,1,1,3.8,3.8,95,7,41,21.21,6,4.73,5.04,3.97,7.4
"430",430,"CAR",2022-12-18,23,"Sun",14,15,NA,"PIT","L 16-24",14,23,9,60.9,188,1,0,4.3,0,108.1,4,37,14.81,8.2,6.96,9.04,7.7,13.4
"431",431,"TAM",2022-12-18,44,"Sun",14,15,NA,"CIN","L 23-34",30,44,14,68.2,304,3,2,6.8,4.5,92.2,1,8,2.22,6.9,6.76,6.23,6.09,10.1
"432",432,"DET",2022-12-18,38,"Sun",14,15,"@","NYJ","W 20-17",23,38,15,60.5,252,1,0,2.6,0,88.9,0,0,0,6.6,6.63,7.16,7.16,11
"433",433,"CIN",2022-12-18,39,"Sun",14,15,"@","TAM","W 34-23",27,39,12,69.2,184,4,1,10.3,2.6,104.6,2,16,4.88,4.7,4.49,5.62,5.34,6.8
"434",434,"ATL",2022-12-18,26,"Sun",14,15,"@","NOR","L 18-21",13,26,13,50,89,0,0,0,0,59.3,4,8,13.33,3.4,2.97,3.42,2.97,6.8
"435",435,"LVR",2022-12-18,38,"Sun",14,15,NA,"NWE","W 30-24",20,38,18,52.6,211,3,1,7.9,2.6,86.6,3,20,7.32,5.6,5.15,5.95,5.51,10.6
"436",436,"LAC",2022-12-18,42,"Sun",14,15,NA,"TEN","W 17-14",28,42,14,66.7,291,0,2,0,4.8,68.8,3,22,6.67,6.9,6.47,4.79,4.47,10.4
"437",437,"NOR",2022-12-18,19,"Sun",14,15,NA,"ATL","W 21-18",13,19,6,68.4,214,3,0,15.8,0,149.3,2,17,9.52,11.3,10.19,14.42,13.05,16.5
"438",438,"NWE",2022-12-18,31,"Sun",14,15,"@","LVR","L 24-30",13,31,18,41.9,112,0,0,0,0,52.1,0,0,0,3.6,3.61,3.61,3.61,8.6
"439",439,"PIT",2022-12-18,22,"Sun",14,15,"@","CAR","W 24-16",17,22,5,77.3,169,0,0,0,0,100.4,1,10,4.35,7.7,7.35,7.68,7.35,9.9
"440",440,"CHI",2022-12-18,22,"Sun",14,15,NA,"PHI","L 20-25",14,22,8,63.6,91,2,0,9.1,0,114.2,6,61,21.43,4.1,3.25,5.95,4.68,6.5
"441",441,"WAS",2022-12-18,29,"Sun",14,15,NA,"NYG","L 12-20",17,29,12,58.6,228,1,0,3.4,0,98.2,3,21,9.38,7.9,7.13,8.55,7.75,13.4
"442",442,"PHI",2022-12-18,37,"Sun",14,15,"@","CHI","W 25-20",22,37,15,59.5,309,0,2,0,5.4,64.6,1,6,2.63,8.4,8.13,5.92,5.76,14
"443",443,"NYJ",2022-12-18,35,"Sun",14,15,NA,"DET","L 17-20",18,35,17,51.4,287,2,1,5.7,2.9,89.8,4,30,10.26,8.2,7.36,8.06,7.23,15.9
"444",444,"NYG",2022-12-18,32,"Sun",14,15,"@","WAS","W 20-12",21,32,11,65.6,160,0,0,0,0,77.6,0,0,0,5,5,5,5,7.6
"445",445,"KAN",2022-12-18,41,"Sun",14,15,"@","HOU","W 30-24 (OT)",36,41,5,87.8,313,2,0,4.9,0,117.1,2,23,4.65,7.6,7.28,8.61,8.21,8.7
"446",446,"JAX",2022-12-18,42,"Sun",14,15,NA,"DAL","W 40-34 (OT)",27,42,15,64.3,311,4,1,9.5,2.4,109,1,7,2.33,7.4,7.23,8.24,8.05,11.5
"447",447,"LAR",2022-12-19,21,"Mon",14,15,"@","GNB","L 12-24",12,21,9,57.1,84,1,1,4.8,4.8,67.8,5,27,19.23,4,3.23,2.81,2.27,7
"448",448,"GNB",2022-12-19,30,"Mon",14,15,NA,"LAR","W 24-12",22,30,8,73.3,207,1,1,3.3,3.3,92.2,3,22,9.09,6.9,6.27,6.07,5.52,9.4
"449",449,"NYJ",2022-12-22,33,"Thu",15,16,NA,"JAX","L 3-19",19,33,14,57.6,161,0,1,0,3,60.4,3,21,8.33,4.9,4.47,3.52,3.22,8.5
"450",450,"JAX",2022-12-22,31,"Thu",15,16,"@","NYJ","W 19-3",20,31,11,64.5,218,0,0,0,0,86.6,1,11,3.13,7,6.81,7.03,6.81,10.9
"451",451,"DAL",2022-12-24,35,"Sat",15,16,NA,"PHI","W 40-34",27,35,8,77.1,304,3,1,8.6,2.9,124.3,6,43,14.63,8.7,7.41,9.11,7.78,11.3
"452",452,"TEN",2022-12-24,23,"Sat",15,16,NA,"HOU","L 14-19",14,23,9,60.9,88,0,2,0,8.7,34.5,4,11,14.81,3.8,3.26,-0.09,-0.07,6.3
"453",453,"SFO",2022-12-24,22,"Sat",15,16,NA,"WAS","W 37-20",15,22,7,68.2,218,2,1,9.1,4.5,114.6,3,16,12,9.9,8.72,9.68,8.52,14.5
"454",454,"HOU",2022-12-24,32,"Sat",15,16,"@","TEN","W 19-14",20,32,12,62.5,215,1,1,3.1,3.1,79.9,1,3,3.03,6.7,6.52,5.94,5.76,10.8
"455",455,"CAR",2022-12-24,22,"Sat",15,16,NA,"DET","W 37-23",15,22,7,68.2,250,1,0,4.5,0,121.4,0,0,0,11.4,11.36,12.27,12.27,16.7
"456",456,"CLE",2022-12-24,31,"Sat",15,16,NA,"NOR","L 10-17",15,31,16,48.4,125,0,1,0,3.2,47.1,2,10,6.06,4,3.79,2.58,2.42,8.3
"457",457,"BUF",2022-12-24,26,"Sat",15,16,"@","CHI","W 35-13",15,26,11,57.7,172,2,2,7.7,7.7,71.3,1,0,3.7,6.6,6.37,4.69,4.52,11.5
"458",458,"DET",2022-12-24,42,"Sat",15,16,"@","CAR","L 23-37",25,42,17,59.5,336,3,0,7.1,0,110.7,2,19,4.55,8,7.64,9.43,9,13.4
"459",459,"CIN",2022-12-24,52,"Sat",15,16,"@","NWE","W 22-18",40,52,12,76.9,369,3,2,5.8,3.8,99.4,2,6,3.7,7.1,6.83,6.52,6.28,9.2
"460",460,"ATL",2022-12-24,33,"Sat",15,16,"@","BAL","L 9-17",22,33,11,66.7,212,0,0,0,0,85.2,2,6,5.71,6.4,6.06,6.42,6.06,9.6
"461",461,"BAL",2022-12-24,17,"Sat",15,16,NA,"ATL","W 17-9",9,17,8,52.9,115,1,0,5.9,0,94,0,0,0,6.8,6.76,7.94,7.94,12.8
"462",462,"SEA",2022-12-24,40,"Sat",15,16,"@","KAN","L 10-24",25,40,15,62.5,200,1,1,2.5,2.5,74.5,2,15,4.76,5,4.76,4.38,4.17,8
"463",463,"MIN",2022-12-24,48,"Sat",15,16,NA,"NYG","W 27-24",34,48,14,70.8,270,3,0,6.3,0,107.9,4,29,7.69,5.6,5.19,6.88,6.35,7.9
"464",464,"LVR",2022-12-24,30,"Sat",15,16,"@","PIT","L 10-13",16,30,14,53.3,143,1,3,3.3,10,42.2,3,31,9.09,4.8,4.33,0.93,0.85,8.9
"465",465,"NOR",2022-12-24,15,"Sat",15,16,"@","CLE","W 17-10",8,15,7,53.3,92,0,1,0,6.7,44.3,0,0,0,6.1,6.13,3.13,3.13,11.5
"466",466,"NWE",2022-12-24,33,"Sat",15,16,NA,"CIN","L 18-22",21,33,12,63.6,224,2,0,6.1,0,105.6,4,16,10.81,6.8,6.05,8,7.14,10.7
"467",467,"PIT",2022-12-24,39,"Sat",15,16,NA,"LVR","W 13-10",26,39,13,66.7,244,1,1,2.6,2.6,81.6,0,0,0,6.3,6.26,5.62,5.62,9.4
"468",468,"CHI",2022-12-24,28,"Sat",15,16,NA,"BUF","L 13-35",18,28,10,64.3,129,1,1,3.6,3.6,74.1,2,15,6.67,4.6,4.3,3.71,3.47,7.2
"469",469,"WAS",2022-12-24,34,"Sat",15,16,"@","SFO","L 20-37",25,34,9,73.5,270,3,1,8.8,2.9,115.9,2,19,5.56,7.9,7.5,8.38,7.92,10.8
"470",470,"PHI",2022-12-24,40,"Sat",15,16,"@","DAL","L 34-40",24,40,16,60,355,2,2,5,5,84.9,0,0,0,8.9,8.88,7.63,7.63,14.8
"471",471,"NYG",2022-12-24,42,"Sat",15,16,"@","MIN","L 24-27",30,42,12,71.4,319,1,1,2.4,2.4,92.8,3,15,6.67,7.6,7.09,7,6.53,10.6
"472",472,"KAN",2022-12-24,28,"Sat",15,16,NA,"SEA","W 24-10",16,28,12,57.1,220,2,0,7.1,0,106.8,1,4,3.45,7.9,7.59,9.29,8.97,13.8
"473",473,"MIA",2022-12-25,25,"Sun",15,16,NA,"GNB","L 20-26",16,25,9,64,294,1,3,4,12,80.8,2,16,7.41,11.8,10.89,7.16,6.63,18.4
"474",474,"ARI",2022-12-25,46,"Sun",15,16,NA,"TAM","L 16-19 (OT)",25,46,21,54.3,204,0,1,0,2.2,58.3,1,17,2.13,4.4,4.34,3.46,3.38,8.2
"475",475,"DEN",2022-12-25,35,"Sun",15,16,"@","LAR","L 14-51",19,35,16,54.3,219,1,4,2.9,11.4,48.1,6,40,14.63,6.3,5.34,1.69,1.44,11.5
"476",476,"TAM",2022-12-25,48,"Sun",15,16,"@","ARI","W 19-16 (OT)",32,48,16,66.7,281,1,2,2.1,4.2,71.6,0,0,0,5.9,5.85,4.4,4.4,8.8
"477",477,"LAR",2022-12-25,28,"Sun",15,16,NA,"DEN","W 51-14",24,28,4,85.7,230,2,0,7.1,0,124.7,0,0,0,8.2,8.21,9.64,9.64,9.6
"478",478,"GNB",2022-12-25,38,"Sun",15,16,"@","MIA","W 26-20",24,38,14,63.2,222,1,1,2.6,2.6,78.6,2,16,5,5.8,5.55,5.18,4.93,9.3
"479",479,"LAC",2022-12-26,31,"Mon",15,16,"@","IND","W 20-3",24,31,7,77.4,213,0,1,0,3.2,84.7,4,22,11.43,6.9,6.09,5.42,4.8,8.9
"480",480,"IND",2022-12-26,29,"Mon",15,16,NA,"LAC","L 3-20",17,29,12,58.6,104,0,3,0,10.3,31.9,7,39,19.44,3.6,2.89,-1.07,-0.86,6.1
"481",481,"DAL",2022-12-29,41,"Thu",16,17,"@","TEN","W 27-13",29,41,12,70.7,274,2,2,4.9,4.9,85.6,1,8,2.38,6.7,6.52,5.46,5.33,9.4
"482",482,"TEN",2022-12-29,39,"Thu",16,17,NA,"DAL","L 13-27",20,39,19,51.3,220,1,1,2.6,2.6,67.5,2,12,4.88,5.6,5.37,5,4.76,11
"483",483,"MIA",2023-01-01,40,"Sun",16,17,"@","NWE","L 21-23",24,40,16,60,247,2,2,5,5,75.5,2,18,4.76,6.2,5.88,4.93,4.69,10.3
"484",484,"ARI",2023-01-01,40,"Sun",16,17,"@","ATL","L 19-20",24,40,16,60,213,1,0,2.5,0,83.5,2,9,4.76,5.3,5.07,5.83,5.55,8.9
"485",485,"SFO",2023-01-01,35,"Sun",16,17,"@","LVR","W 37-34 (OT)",22,35,13,62.9,284,2,1,5.7,2.9,95.4,0,0,0,8.1,8.11,7.97,7.97,12.9
"486",486,"HOU",2023-01-01,44,"Sun",16,17,NA,"JAX","L 3-31",25,44,19,56.8,193,0,0,0,0,69.4,2,18,4.35,4.4,4.2,4.39,4.2,7.7
"487",487,"DEN",2023-01-01,38,"Sun",16,17,"@","KAN","L 24-27",26,38,12,68.4,190,1,1,2.6,2.6,81.3,4,32,9.52,5,4.52,4.34,3.93,7.3
"488",488,"CAR",2023-01-01,37,"Sun",16,17,"@","TAM","L 24-30",23,37,14,62.2,326,3,1,8.1,2.7,108.1,2,15,5.13,8.8,8.36,9.22,8.74,14.2
"489",489,"CLE",2023-01-01,18,"Sun",16,17,"@","WAS","W 24-10",9,18,9,50,155,3,0,16.7,0,122.5,5,14,21.74,8.6,6.74,11.94,9.35,17.2
"490",490,"TAM",2023-01-01,45,"Sun",16,17,NA,"CAR","W 30-24",34,45,11,75.6,411,3,0,6.7,0,127.3,3,21,6.25,9.1,8.56,10.47,9.81,12.1
"491",491,"LAR",2023-01-01,19,"Sun",16,17,"@","LAC","L 10-31",11,19,8,57.9,111,0,0,0,0,79.3,3,21,13.64,5.8,5.05,5.84,5.05,10.1
"492",492,"DET",2023-01-01,29,"Sun",16,17,NA,"CHI","W 41-10",21,29,8,72.4,239,3,0,10.3,0,133.5,2,16,6.45,8.2,7.71,10.31,9.65,11.4
"493",493,"GNB",2023-01-01,27,"Sun",16,17,NA,"MIN","W 41-17",17,27,10,63,152,1,0,3.7,0,92.8,1,16,3.57,5.6,5.43,6.37,6.14,8.9
"494",494,"ATL",2023-01-01,26,"Sun",16,17,NA,"ARI","W 20-19",19,26,7,73.1,166,0,0,0,0,90.1,1,3,3.7,6.4,6.15,6.38,6.15,8.7
"495",495,"BAL",2023-01-01,21,"Sun",16,17,NA,"PIT","L 13-16",14,21,7,66.7,120,1,1,4.8,4.8,79.5,1,10,4.55,5.7,5.45,4.52,4.32,8.6
"496",496,"SEA",2023-01-01,29,"Sun",16,17,NA,"NYJ","W 23-6",18,29,11,62.1,148,2,0,6.9,0,103.1,4,35,12.12,5.1,4.48,6.48,5.7,8.2
"497",497,"MIN",2023-01-01,35,"Sun",16,17,"@","GNB","L 17-41",22,35,13,62.9,244,2,3,5.7,8.6,69,2,18,5.41,7,6.59,4.26,4.03,11.1
"498",498,"LVR",2023-01-01,34,"Sun",16,17,NA,"SFO","L 34-37 (OT)",23,34,11,67.6,365,3,2,8.8,5.9,108.1,0,0,0,10.7,10.74,9.85,9.85,15.9
"499",499,"LAC",2023-01-01,31,"Sun",16,17,NA,"LAR","W 31-10",24,31,7,77.4,239,2,0,6.5,0,120.2,0,0,0,7.7,7.71,9,9,10
"500",500,"NOR",2023-01-01,24,"Sun",16,17,"@","PHI","W 20-10",20,24,4,83.3,184,0,1,0,4.2,89.1,7,45,22.58,7.7,5.94,5.79,4.48,9.2
"501",501,"NWE",2023-01-01,33,"Sun",16,17,NA,"MIA","W 23-21",20,33,13,60.6,173,2,0,6.1,0,98.5,3,31,8.33,5.2,4.81,6.45,5.92,8.7
"502",502,"PIT",2023-01-01,27,"Sun",16,17,"@","BAL","W 16-13",15,27,12,55.6,153,1,0,3.7,0,86.7,2,15,6.9,5.7,5.28,6.41,5.97,10.2
"503",503,"CHI",2023-01-01,21,"Sun",16,17,"@","DET","L 10-41",7,21,14,33.3,30,1,1,4.8,4.8,40.8,7,45,25,1.4,1.07,0.24,0.18,4.3
"504",504,"WAS",2023-01-01,28,"Sun",16,17,NA,"CLE","L 10-24",16,28,12,57.1,124,0,3,0,10.7,31.4,3,19,9.68,4.4,4,-0.39,-0.35,7.8
"505",505,"IND",2023-01-01,27,"Sun",16,17,"@","NYG","L 10-38",17,27,10,63,124,1,1,3.7,3.7,73.2,2,17,6.9,4.6,4.28,3.67,3.41,7.3
"506",506,"PHI",2023-01-01,32,"Sun",16,17,NA,"NOR","L 10-20",18,32,14,56.3,246,1,1,3.1,3.1,82,6,28,15.79,7.7,6.47,6.91,5.82,13.7
"507",507,"NYJ",2023-01-01,46,"Sun",16,17,"@","SEA","L 6-23",23,46,23,50,204,0,2,0,4.3,47.4,4,36,8,4.4,4.08,2.48,2.28,8.9
"508",508,"NYG",2023-01-01,24,"Sun",16,17,NA,"IND","W 38-10",19,24,5,79.2,177,2,0,8.3,0,125.2,0,0,0,7.4,7.38,9.04,9.04,9.3
"509",509,"KAN",2023-01-01,42,"Sun",16,17,NA,"DEN","W 27-24",29,42,13,69,328,3,1,7.1,2.4,106.1,0,0,0,7.8,7.81,8.17,8.17,11.3
"510",510,"JAX",2023-01-01,29,"Sun",16,17,"@","HOU","W 31-3",22,29,7,75.9,168,0,2,0,6.9,62.6,2,13,6.45,5.8,5.42,2.69,2.52,7.6
"511",511,"TEN",2023-01-07,29,"Sat",17,18,"@","JAX","L 16-20",20,29,9,69,165,1,1,3.4,3.4,82.4,4,14,12.12,5.7,5,4.83,4.24,8.3
"512",512,"LVR",2023-01-07,36,"Sat",17,18,NA,"KAN","L 13-31",22,36,14,61.1,180,1,1,2.8,2.8,76,6,39,14.29,5,4.29,4.31,3.69,8.2
"513",513,"KAN",2023-01-07,26,"Sat",17,18,"@","LVR","W 31-13",18,26,8,69.2,181,1,0,3.8,0,105,2,21,7.14,7,6.46,7.73,7.18,10.1
"514",514,"JAX",2023-01-07,32,"Sat",17,18,NA,"TEN","W 20-16",20,32,12,62.5,203,1,0,3.1,0,92.2,1,9,3.03,6.3,6.15,6.97,6.76,10.2
"515",515,"MIA",2023-01-08,31,"Sun",17,18,NA,"NYJ","W 11-6",20,31,11,64.5,140,0,0,0,0,76.3,1,12,3.13,4.5,4.38,4.52,4.38,7
"516",516,"DAL",2023-01-08,38,"Sun",17,18,"@","WAS","L 6-26",14,38,24,36.8,118,1,1,2.6,2.6,44.6,1,10,2.56,3.1,3.03,2.45,2.38,8.4
"517",517,"ARI",2023-01-08,27,"Sun",17,18,"@","SFO","L 13-38",20,27,7,74.1,194,1,3,3.7,11.1,68.8,3,15,10,7.2,6.47,2.93,2.63,9.7
"518",518,"SFO",2023-01-08,20,"Sun",17,18,NA,"ARI","W 38-13",15,20,5,75,142,3,0,15,0,141.2,4,36,16.67,7.1,5.92,10.1,8.42,9.5
"519",519,"HOU",2023-01-08,40,"Sun",17,18,"@","IND","W 32-31",24,40,16,60,301,3,2,7.5,5,88.6,1,10,2.44,7.5,7.34,6.78,6.61,12.5
"520",520,"DEN",2023-01-08,24,"Sun",17,18,NA,"LAC","W 31-28",13,24,11,54.2,266,3,1,12.5,4.2,118.6,2,17,7.69,11.1,10.23,11.71,10.81,20.5
"521",521,"CAR",2023-01-08,15,"Sun",17,18,"@","NOR","W 10-7",5,15,10,33.3,32,0,2,0,13.3,2.8,2,11,11.76,2.1,1.88,-3.87,-3.41,6.4
"522",522,"CLE",2023-01-08,29,"Sun",17,18,"@","PIT","L 14-28",19,29,10,65.5,173,2,2,6.9,6.9,84,7,57,19.44,6,4.81,4.24,3.42,9.1
"523",523,"BUF",2023-01-08,31,"Sun",16,18,NA,"NWE","W 35-23",19,31,12,61.3,237,3,1,9.7,3.2,106.1,2,17,6.06,7.6,7.18,8.13,7.64,12.5
"524",524,"TAM",2023-01-08,34,"Sun",17,18,"@","ATL","L 17-30",22,34,12,64.7,136,2,0,5.9,0,92.3,0,0,0,4,4,5.18,5.18,6.2
"525",525,"LAR",2023-01-08,26,"Sun",17,18,"@","SEA","L 16-19 (OT)",13,26,13,50,123,0,1,0,3.8,51.3,5,24,16.13,4.7,3.97,3,2.52,9.5
"526",526,"DET",2023-01-08,34,"Sun",17,18,"@","GNB","W 20-16",23,34,11,67.6,219,0,0,0,0,85.9,1,5,2.86,6.4,6.26,6.44,6.26,9.5
"527",527,"CIN",2023-01-08,42,"Sun",16,18,NA,"BAL","W 27-16",25,42,17,59.5,202,1,0,2.4,0,81,2,13,4.55,4.8,4.59,5.29,5.05,8.1
"528",528,"GNB",2023-01-08,27,"Sun",17,18,NA,"DET","L 16-20",17,27,10,63,188,1,1,3.7,3.7,83.1,2,17,6.9,7,6.48,6.04,5.62,11.1
"529",529,"ATL",2023-01-08,30,"Sun",17,18,NA,"TAM","W 30-17",19,30,11,63.3,208,2,0,6.7,0,108.2,2,16,6.25,6.9,6.5,8.27,7.75,10.9
"530",530,"BAL",2023-01-08,44,"Sun",17,18,"@","CIN","L 16-27",19,44,25,43.2,276,0,2,0,4.5,46.2,4,10,8.33,6.3,5.75,4.23,3.88,14.5
"531",531,"SEA",2023-01-08,31,"Sun",17,18,NA,"LAR","W 19-16 (OT)",19,31,12,61.3,205,1,2,3.2,6.5,65.7,3,8,8.82,6.6,6.03,4.35,3.97,10.8
"532",532,"MIN",2023-01-08,33,"Sun",17,18,"@","CHI","W 29-13",28,33,5,84.8,341,1,1,3,3,107.2,0,0,0,10.3,10.33,9.58,9.58,12.2
"533",533,"LAC",2023-01-08,44,"Sun",17,18,"@","DEN","L 28-31",30,44,14,68.2,293,3,0,6.8,0,109.8,1,5,2.22,6.7,6.51,8.02,7.84,9.8
"534",534,"NOR",2023-01-08,25,"Sun",17,18,NA,"CAR","L 7-10",15,25,10,60,161,1,0,4,0,93.9,1,10,3.85,6.4,6.19,7.24,6.96,10.7
"535",535,"NWE",2023-01-08,40,"Sun",17,18,"@","BUF","L 23-35",26,40,14,65,234,3,3,7.5,7.5,75.3,1,9,2.44,5.9,5.71,3.98,3.88,9
"536",536,"PIT",2023-01-08,29,"Sun",17,18,NA,"CLE","W 28-14",13,29,16,44.8,189,1,0,3.4,0,79,1,6,3.33,6.5,6.3,7.21,6.97,14.5
"537",537,"CHI",2023-01-08,27,"Sun",17,18,NA,"MIN","L 13-29",13,27,14,48.1,141,1,2,3.7,7.4,46.4,1,6,3.57,5.2,5.04,2.63,2.54,10.8
"538",538,"WAS",2023-01-08,19,"Sun",17,18,NA,"DAL","W 26-6",11,19,8,57.9,158,1,1,5.3,5.3,83,3,11,13.64,8.3,7.18,7,6.05,14.4
"539",539,"IND",2023-01-08,35,"Sun",17,18,NA,"HOU","L 31-32",23,35,12,65.7,202,2,2,5.7,5.7,77,2,7,5.41,5.8,5.46,4.34,4.11,8.8
"540",540,"PHI",2023-01-08,35,"Sun",17,18,NA,"NYG","W 22-16",20,35,15,57.1,207,0,1,0,2.9,65.1,3,22,7.89,5.9,5.45,4.63,4.26,10.4
"541",541,"NYJ",2023-01-08,33,"Sun",17,18,"@","MIA","L 6-11",18,33,15,54.5,149,0,0,0,0,66.4,0,0,0,4.5,4.52,4.52,4.52,8.3
"542",542,"NYG",2023-01-08,40,"Sun",17,18,"@","PHI","L 16-22",23,40,17,57.5,155,1,0,2.5,0,75.8,2,13,4.76,3.9,3.69,4.38,4.17,6.7
